Month,Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
September,West,252,145,107,48,125,69,10,128,124,0,0,52,79,25,130
October,Dublin,4297,2762,1535,484,2494,1247,72,2410,1907,35,0,858,1246,470,2070
October,Mid-East,313,192,121,62,169,73,9,208,101,4,0,60,83,37,141
October,Midlands,79,43,36,17,41,19,2,52,11,16,0,22,26,18,48
October,Mid-West,289,193,96,27,177,78,7,80,172,37,0,39,51,27,62
October,North-East,100,73,27,12,57,21,10,27,51,22,0,3,3,3,7
October,North-West,67,44,23,13,37,17,0,29,25,11,2,6,8,4,13
October,South-East,197,149,48,31,105,54,7,53,144,0,0,14,19,9,22
October,South-West,501,338,163,53,290,140,18,340,177,0,0,65,89,41,163
October,West,252,151,101,42,134,67,9,119,133,0,0,50,75,25,116
November,Dublin,4243,2749,1494,487,2458,1228,70,2396,1856,37,0,783,1150,416,1914
November,Mid-East,323,208,115,49,173,90,11,215,104,4,0,60,84,36,134
November,Midlands,79,45,34,19,40,18,2,51,11,17,0,21,26,16,46
November,Mid-West,287,187,100,26,182,74,5,71,183,33,0,34,43,25,53
November,North-East,95,71,24,8,56,22,9,29,43,23,0,9,10,8,17
November,North-West,75,49,26,17,38,19,1,37,25,11,2,7,11,3,16
November,South-East,174,126,48,30,90,48,6,52,122,0,0,16,22,10,25
November,South-West,504,344,160,61,283,143,17,337,171,0,0,58,79,37,142
November,West,252,146,106,48,122,73,9,115,137,0,0,46,71,21,105
December,Dublin,4158,2681,1477,482,2402,1209,65,2360,1795,37,0,755,"1,131",379,1864
December,Mid-East,310,198,112,43,170,86,11,201,105,3,1,53,71,35,127
December,Midlands,68,38,30,15,34,18,1,39,14,15,0,16,18,14,34
December,Mid-West,274,182,92,26,167,76,5,68,164,42,0,30,37,23,51
December,North-East,89,68,21,11,50,21,7,28,44,17,0,4,4,4,9
December,North-West,72,51,21,18,34,19,1,32,28,11,1,6,8,4,12
December,South-East,169,124,45,26,86,49,8,50,119,0,0,14,19,9,21
December,South-West,485,340,145,57,272,139,17,327,158,0,0,50,71,29,119
December,West,248,146,102,50,120,70,8,108,140,0,0,42,67,17,90
